site_id,site_name,tenant,phase1_kwh,phase2_kwh,phase3_kwh,total_kwh
1755,Odobeng,Tigo,904,2.7,392.2,1298.9
1760,Essuehyia,Tigo,427.7,473,194.9,1095.6
1761,"Benso (Wassa Agyakaa Manso)",Tigo,253.7,794.8,223.7,1272.2
1785,Ahenfie,Tigo,1809.5,0,1044.3,2853.8
1800,Denkyemuoso,Tigo,3089.5,665.9,806.8,4562.2
1801,"Santase Roundabout",Tigo,463,292.3,2321.2,3076.5
1802,Apere,Tigo,905.3,1674,960.9,3540.2
1803,Kotei,Tigo,1050.3,951.7,956,2958
1804,"Airport Roundabout",Tigo,364.3,329.2,313.9,1007.4
1810,"Adenkwame (Barekese)",Tigo,328.1,369.9,311.8,1009.8
1811,"Tutuka Aboagyekrom",Tigo,926.1,530.2,559.3,2015.6
1820,Dadieso,Tigo,347,490.4,339.3,1176.7
1821,"Pakyi No 2 ",Tigo,7.8,146.9,107.4,262.1
1822,Jacobu,Tigo,1095.1,320.6,446.3,1862
1826,"Mbre Adane",Tigo,1241.4,344.3,525.1,2110.8
1827,Kwantwima,Tigo,256.2,178.2,127.1,561.5
1840,"K-Line - Asawasi (Royal)",Tigo,839,1072.7,850.3,2762
1841,"Kumasi Ashtown",Tigo,516.1,1103.3,1902.8,3522.2
1842,Atasomanso,Tigo,894.1,626.2,621.9,2142.2
1843,"Adum Pampaso",Tigo,910.3,1804,872.9,3587.2
1845,"Old Tafo (New Tafo Ii)",Tigo,804.4,1083.9,1103.7,2992
1846,"Roman Hill",Tigo,1091.2,550.3,1906.4,3547.9
1848,"Suame Roundabout",Tigo,1058.5,1385.6,2945.8,5389.9
1849,Apatrapa,Tigo,1026.1,840.7,546.2,2413
1851,"Atwima Koforidua (Abuakwa 2)",Tigo,1012.6,1027.2,15.199999999999,2055
1852,"Esreso Kotoku",Tigo,790,1024.2,232.2,2046.4
1858,"Bogobiri(Govhill Ii)",Tigo,1833.6,807.9,623,3264.5
1859,"Manso Adubia",Tigo,391.5,335.4,506.1,1233
1862,"Anwia Nkwanta",Tigo,1120.8,573.1,452.5,2146.4
1865,Jachie,Tigo,712,708.5,364.6,1785.1
1869,Boanim,Tigo,256.4,1812.9,254.6,2323.9
1871,Kotwi,Tigo,526.5,558.2,738,1822.7
1899,Nkasiem,Tigo,903.5,272.3,0,1175.8
1901,"Teshie Aboma",Tigo,598.4,1207.8,384.6,2190.8
1904,"West Dome ",Tigo,640.6,673.6,1806,3120.2
1905,Kokomlemle,Tigo,1420.3,591.7,1090,3102
1906,Sukura,Tigo,1241.4,1844.9,401.8,3488.1
1907,"Pentecost Junction (Ablekuma I",Tigo,1400.1,680.2,491.6,2571.9
1908,"Teshie Township",Tigo,36.1,22.3,40.2,98.6
1910,Chantan,Tigo,416.8,902.3,1625.4,2944.5
1917,Nyigbenya,Tigo,477.6,358.8,263.4,1099.8
1920,Kutunse,Tigo,1191.2,772.8,1225.8,3189.8
1921,"Abensu (Pokuase)",Tigo,0,1475.5,1549,3024.5
1923,"Teshie Tsui Bleoo li (Alloway)",Tigo,851.5,774.3,1388.1,3013.9
1926,"Ashiaman Night Market",Tigo,1130.5,1431.7,1516.1,4078.3
1932,"Labadi Nativity",Tigo,312.1,388.9,1935.8,2636.8
1940,"Dome li (Asafo Adjei)",Tigo,2060.1,1441.7,814.7,4316.5
1941,"Nungua Adorgon",Tigo,1787.3,906.6,1677.9,4371.8
1942,Anyaa,Tigo,1283.1,942.6,611.6,2837.3
1944,"Russia Ii",Tigo,1180.5,1814.6,1409.2,4404.3
1948,"New Sebrepor",Tigo,418.4,381.9,383.7,1184
1956,"Anyaa  Nic Down",Tigo,73.9,101.3,185,360.2
1963,"Shiabu (Glefe li)",Tigo,1115,243.1,426.6,1784.7
1965,"Kasoa Ii/Iron City",Tigo,655.2,1252,0,1907.2
1968,"Mile 7",Tigo,1646.9,294.6,791.8,2733.3
1969,"Nima Market/Nima Research",Tigo,0,1786.4,0,1786.4
3202,Yamfo,Tigo,134.4,1595.1,258.7,1988.2
3203,Nkrankwanta,Tigo,549.3,448.3,288.1,1285.7
3220,"Ashtown Ii/ Ashtown Ahenboboan",Tigo,339,29.6,713.3,1081.9
3280,"Workers College(B/N Adum And Abo",Tigo,563.9,697.6,274.8,1536.3
3504,"Waii/ Kabanye",Tigo,63.1,769.2,415.3,1247.6
